ID	adj.P.Val	P.Value	F	GI	Gene.symbol	Gene.title	Gene.ID
ILMN_2868827	0.021494	3.26e-05	15.1946088	162951833	Cyth1	cytohesin 1	19157
ILMN_3162081	0.021494	3.65e-05	14.9594931	31981423	Wdr6	WD repeat domain 6	83669
ILMN_3095624	0.021494	3.77e-05	14.8932097	62945393	Kdm6b	KDM1 lysine (K)-specific demethylase 6B	216850
ILMN_2659540	0.021494	3.78e-05	14.8899549	113199768	Nfatc3	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3	18021
ILMN_2993334	0.021494	4.00e-05	14.7729111	170650666	Plekhf1	pleckstrin homology domain containing, family F (with FYVE domain) member 1	72287
ILMN_2707510	0.021494	4.07e-05	14.7373892	340007430	Arntl	aryl hydrocarbon receptor nuclear translocator-like	11865
ILMN_2602011	0.022123	4.37e-05	14.5922584	160333306	Papola	poly (A) polymerase alpha	18789
ILMN_1229994	0.02383	5.39e-05	14.1692567	402747080	Srxn1	sulfiredoxin 1 homolog (S. cerevisiae)	76650
ILMN_2634083	0.02383	5.49e-05	14.1351979	930425324	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	12575
ILMN_1239021	0.02383	5.50e-05	14.1313184	158186702	Hnrnpm	heterogeneous nuclear ribonucleoprotein M	76936
ILMN_2730926	0.02383	5.73e-05	14.0500865	146198816	Lsm12	LSM12 homolog	268490
ILMN_2763825	0.02383	5.87e-05	14.000855	58037170	Ipmk	inositol polyphosphate multikinase	69718
ILMN_2963580	0.02383	5.89e-05	13.9954041	146198816	Lsm12	LSM12 homolog	268490
ILMN_2592095	0.025886	6.75e-05	13.7255036	114051828	Tpgs1	tubulin polyglutamylase complex subunit 1	110012
ILMN_2752883	0.025886	6.82e-05	13.7044408	146134469	Hsp90aa1	heat shock protein 90, alpha (cytosolic), class A member 1	15519
ILMN_1247694	0.026142	7.16e-05	13.608484	142388480	Chordc1	cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1	66917
ILMN_2621346	0.026142	7.32e-05	13.5663281	160333655	Keap1	kelch-like ECH-associated protein 1	50868
ILMN_2730516	0.027831	8.02e-05	13.3878044	215422356	Herpud2	HERPUD family member 2	80517
ILMN_1232121	0.027876	8.36e-05	13.3065712	575501705	Zeb2	zinc finger E-box binding homeobox 2	24136
ILMN_2768805	0.027876	8.49e-05	13.2769232	260099669	Pkn2	protein kinase N2	109333
ILMN_1241980	0.027982	8.76e-05	13.2180404	142350164	Cdk11b	cyclin-dependent kinase 11B	12537
ILMN_2741231	0.028215	9.06e-05	13.1519414	225543088	Tenm3	teneurin transmembrane protein 3	23965
ILMN_1242677	0.028401	9.50e-05	13.0619821	46877108	Galnt2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2	108148
ILMN_2749669	0.028401	9.59e-05	13.043191	583828531	Nr1d1	nuclear receptor subfamily 1, group D, member 1	217166
ILMN_2666747	0.029403	1.02e-04	12.9306816	699045614	G3bp2	GTPase activating protein (SH3 domain) binding protein 2	23881
ILMN_2872639	0.031637	1.12e-04	12.7464113	270047484	9030624J02Rik	RIKEN cDNA 9030624J02 gene	71517
ILMN_2878021	0.032034	1.17e-04	12.6582009	240849390	Atp2b1	ATPase, Ca++ transporting, plasma membrane 1	67972
ILMN_2684316	0.032034	1.19e-04	12.6367139	530537247	P2ry1	purinergic receptor P2Y, G-protein coupled 1	18441
ILMN_1257393	0.032941	1.25e-04	12.5426019	578888048	Per3	period circadian clock 3	18628
ILMN_2739340	0.032971	1.30e-04	12.4722578	229892251	Lyrm2	LYR motif containing 2	108755
ILMN_2860242	0.032971	1.30e-04	12.4608249	46447824	Klhl24	kelch-like 24	75785
ILMN_2425351	0.03543	1.43e-04	12.2876545	674274944	Usp1	ubiquitin specific peptidase 1	230484
ILMN_3113437	0.036237	1.49e-04	12.2080684	557357738	Tmem2	transmembrane protein 2	83921
ILMN_2691815	0.036836	1.55e-04	12.1408184	699045614	G3bp2	GTPase activating protein (SH3 domain) binding protein 2	23881
ILMN_2454692	0.042678	1.83e-04	11.8335694	133893218	Ubtd1	ubiquitin domain containing 1	226122
ILMN_2680128	0.045626	1.99e-04	11.6766809	61742809	Zc3h13	zinc finger CCCH type containing 13	67302
ILMN_2620069	0.046008	2.05e-04	11.6274564	256985187	Polr1a	polymerase (RNA) I polypeptide A	20019
ILMN_3107228	0.046093	2.09e-04	11.5907531	156255170	Add1	adducin 1 (alpha)	11518
ILMN_1257244	0.049795	2.30e-04	11.4137916	31543118	Leprotl1	leptin receptor overlapping transcript-like 1	68192
ILMN_2710139	0.049795	2.34e-04	11.3863778	238018130	Ppargc1a	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha	19017
ILMN_2747381	0.051625	2.47e-04	11.2901963	226958383	Ddx24	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24	27225
ILMN_2883990	0.056346	2.74e-04	11.1031311	213513164	Rbms1	RNA binding motif, single stranded interacting protein 1	56878
ILMN_3038404	0.057773	2.85e-04	11.0287341	556503443	Tcf25	transcription factor 25 (basic helix-loop-helix)	66855
ILMN_2709681	0.058073	2.95e-04	10.9705298	672424495	Hdlbp	high density lipoprotein (HDL) binding protein	110611
ILMN_2457408	0.058073	2.96e-04	10.9613749	118130013	Zswim4	zinc finger SWIM-type containing 4	212168
ILMN_2846775	0.058642	3.04e-04	10.9157806	930425324	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	12575
ILMN_2716098	0.061116	3.22e-04	10.8150493	114145504	Hsph1	heat shock 105kDa/110kDa protein 1	15505
ILMN_2710678	0.061659	3.30e-04	10.7721892	84370341	Nfic	nuclear factor I/C	18029
ILMN_2960308	0.064587	3.51e-04	10.6640059	183396769	Hspe1	heat shock protein 1 (chaperonin 10)	15528
ILMN_3002284	0.06904	3.85e-04	10.5004847	226493123	Yeats4	YEATS domain containing 4	64050
ILMN_1259355	0.06904	3.87e-04	10.4955668	164698435	Ccdc117	coiled-coil domain containing 117	104479
ILMN_2692454	0.075382	4.28e-04	10.3179668	158518431	Pias4	protein inhibitor of activated STAT 4	59004
ILMN_2841289	0.07774	4.48e-04	10.240077	194394238	Tnfaip2	tumor necrosis factor, alpha-induced protein 2	21928
ILMN_2707771	0.082257	4.81e-04	10.118767	160333655	Keap1	kelch-like ECH-associated protein 1	50868
ILMN_2821336	0.085278	5.06e-04	10.0331965	142387913	Vps53	VPS53 GARP complex subunit	68299
ILMN_1243499	0.087245	5.27e-04	9.962872	459352740	Ide	insulin degrading enzyme	15925
ILMN_2627205	0.087245	5.33e-04	9.9425492	530339559	Zmynd8	zinc finger, MYND-type containing 8	228880
ILMN_2769393	0.087245	5.39e-04	9.9248592	368711309	Mib2	mindbomb E3 ubiquitin protein ligase 2	76580
ILMN_2760272	0.090644	5.75e-04	9.81543	657188848	Rorc	RAR-related orphan receptor gamma	19885
ILMN_2669461	0.090644	5.76e-04	9.8114862	217035124	Bbx	bobby sox homolog (Drosophila)	70508
ILMN_1257299	0.090644	5.82e-04	9.793655	181337096	G0s2	G0/G1 switch gene 2	14373
ILMN_2955535	0.093662	6.14e-04	9.703025	226423885	Rmnd1	required for meiotic nuclear division 1 homolog	66084
ILMN_2591814	0.093662	6.22e-04	9.6828846	407228401	Srsf1	serine/arginine-rich splicing factor 1	110809
ILMN_1246153	0.093662	6.25e-04	9.6746545	141802795	Erdr1	erythroid differentiation regulator 1	170942
ILMN_2660898	0.093662	6.32e-04	9.6542282	530231314	Aggf1	angiogenic factor with G patch and FHA domains 1	66549
ILMN_2718716	0.096962	6.63e-04	9.5758296	551411745	Kif21a	kinesin family member 21A	16564
ILMN_2977558	0.100247	6.93e-04	9.5001001	164565399	Dapk2	death-associated protein kinase 2	13143
ILMN_3154810	0.101434	7.10e-04	9.4607417	51593083	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	67155
ILMN_2778409	0.101785	7.21e-04	9.4355186	145207975	Mtmr3	myotubularin related protein 3	74302
ILMN_2687032	0.106034	7.60e-04	9.3483576	371122517	Fbxo31	F-box protein 31	76454
ILMN_3129372	0.106791	7.74e-04	9.3176294	NA			
ILMN_2863060	0.109084	7.99e-04	9.2637893	364502969	Mcu	mitochondrial calcium uniporter	215999
ILMN_3014084	0.112907	8.37e-04	9.1885398	550822188	Nr1h2	nuclear receptor subfamily 1, group H, member 2	22260
ILMN_2667346	0.11386	8.53e-04	9.1565137	402747080	Srxn1	sulfiredoxin 1 homolog (S. cerevisiae)	76650
ILMN_2754717	0.115747	8.78e-04	9.1094071	74096449	Pear1	platelet endothelial aggregation receptor 1	73182
ILMN_3156208	0.115747	8.86e-04	9.093808	225903458	Gpr146	G protein-coupled receptor 146	80290
ILMN_3102736	0.115924	8.97e-04	9.0737739	238624243	Ciart	circadian associated repressor of transcription	229599
ILMN_1247603	0.122409	9.58e-04	8.9674563	141802861	Fam20b	family with sequence similarity 20, member B	215015
ILMN_2908780	0.12465	1.00e-03	8.8947191	141801811	Mzt2	mitotic spindle organizing protein 2	72083
ILMN_2670247	0.12465	1.00e-03	8.8897367	133892935	Fxn	frataxin	14297
ILMN_1257801	0.12465	1.01e-03	8.8753472	443417996	Gpr19	G protein-coupled receptor 19	14760
ILMN_2751492	0.12465	1.02e-03	8.8707703	606215116	Pgap2	post-GPI attachment to proteins 2	233575
ILMN_2713673	0.133197	1.10e-03	8.7470346	141803198	Cmbl	carboxymethylenebutenolidase-like (Pseudomonas)	69574
ILMN_2622891	0.135607	1.13e-03	8.702022	39930440	2210016L21Rik	RIKEN cDNA 2210016L21 gene	72357
ILMN_1256052	0.139096	1.17e-03	8.645235	344925859	Khdrbs1	KH domain containing, RNA binding, signal transduction associated 1	20218
ILMN_2730478	0.143504	1.22e-03	8.5794342	146198582	Pik3c3	phosphoinositide-3-kinase, class 3	225326
ILMN_2959956	0.147395	1.26e-03	8.5210936	142373343	Mmab	methylmalonic aciduria (cobalamin deficiency) cblB type homolog (human)	77697
ILMN_2964344	0.148451	1.28e-03	8.4943813	255003756	Dpp9	dipeptidylpeptidase 9	224897
ILMN_3022492	0.149222	1.30e-03	8.4709623	84370341	Nfic	nuclear factor I/C	18029
ILMN_2630946	0.151791	1.34e-03	8.428762	118601012	Aprt	adenine phosphoribosyl transferase	11821
ILMN_2860244	0.152242	1.36e-03	8.4077755	46447824	Klhl24	kelch-like 24	75785
ILMN_1218915	0.152242	1.37e-03	8.3945548	167736379	Cyb5d2	cytochrome b5 domain containing 2	192986
ILMN_3029489	0.153052	1.39e-03	8.3715838	238624243	Ciart	circadian associated repressor of transcription	229599
ILMN_2871412	0.160316	1.47e-03	8.2836685	326381096	Sars	seryl-aminoacyl-tRNA synthetase	20226
ILMN_1214918	0.161549	1.49e-03	8.2573519	142375455	Rps9	ribosomal protein S9	76846
ILMN_1231420	0.161621	1.50e-03	8.2425938	124378041	Golga2	golgi autoantigen, golgin subfamily a, 2	99412
ILMN_1258991	0.163558	1.54e-03	8.2098712	297206802	Wnk1	WNK lysine deficient protein kinase 1	232341
ILMN_3138439	0.169848	1.61e-03	8.1366574	118131133	Dyrk2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	69181
ILMN_2764301	0.177834	1.70e-03	8.0509306	142373343	Mmab	methylmalonic aciduria (cobalamin deficiency) cblB type homolog (human)	77697
ILMN_2668849	0.179019	1.72e-03	8.0270865	530339559	Zmynd8	zinc finger, MYND-type containing 8	228880
ILMN_2608174	0.180662	1.76e-03	7.999482	160333479	Tmem143	transmembrane protein 143	70209
ILMN_2666406	0.181655	1.80e-03	7.9617938	288541405	Prrc1	proline-rich coiled-coil 1	73137
ILMN_1240683	0.181655	1.80e-03	7.9589949	254826731	Chmp2a	charged multivesicular body protein 2A	68953
ILMN_3155190	0.181655	1.81e-03	7.9517145	242247040	Stk35	serine/threonine kinase 35	67333
ILMN_2744138	0.186285	1.90e-03	7.8781811	254039642	Cttnbp2nl	CTTNBP2 N-terminal like	80281
ILMN_3147112	0.186285	1.90e-03	7.8777426	557440726	Mapk6	mitogen-activated protein kinase 6	50772
ILMN_1227874	0.186285	1.90e-03	7.8743838	225543358	BC052040	cDNA sequence BC052040	399568
ILMN_2761046	0.18758	1.93e-03	7.8511437	117647274	Slc25a33	solute carrier family 25, member 33	70556
ILMN_2750515	0.192397	2.00e-03	7.799457	31560587	Fos	FBJ osteosarcoma oncogene	14281
ILMN_2654403	0.196198	2.05e-03	7.7569422	133892912	Rnf11	ring finger protein 11	29864
ILMN_2594855	0.19866	2.09e-03	7.7255508	158711672	Pdpk1	3-phosphoinositide dependent protein kinase 1	18607
ILMN_2788121	0.207414	2.20e-03	7.647094	213688405	Dynll1	dynein light chain LC8-type 1	56455
ILMN_2458274	0.214387	2.29e-03	7.5844375	145966827	Ubap1	ubiquitin-associated protein 1	67123
ILMN_2689678	0.219241	2.37e-03	7.5346702	55742726	Ddx54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	71990
ILMN_3138674	0.219241	2.38e-03	7.5267481	827012480	Aebp2	AE binding protein 2	11569
ILMN_2533766	0.220432	2.41e-03	7.5069147	364502969	Mcu	mitochondrial calcium uniporter	215999
ILMN_1224927	0.238107	2.64e-03	7.3684924	118130106	Dirc2	disrupted in renal carcinoma 2 (human)	224132
ILMN_2669333	0.238107	2.65e-03	7.3660648	164565399	Dapk2	death-associated protein kinase 2	13143
ILMN_2673566	0.238107	2.67e-03	7.3517557	118129916	Eif4ebp2	eukaryotic translation initiation factor 4E binding protein 2	13688
ILMN_2670662	0.238107	2.71e-03	7.3329169	893559362	Csde1	cold shock domain containing E1, RNA binding	229663
ILMN_2700699	0.238107	2.72e-03	7.3258886	254911089	Lrrc28	leucine rich repeat containing 28	67867
ILMN_2444505	0.238107	2.74e-03	7.3118858	118130157	Tmem189	transmembrane protein 189	407243
ILMN_2664040	0.238107	2.75e-03	7.3085194	160707966	Alas1	aminolevulinic acid synthase 1	11655
ILMN_2808485	0.238107	2.76e-03	7.3007097	116812913	Gbp10	guanylate-binding protein 10	626578
ILMN_2655577	0.247231	2.90e-03	7.2284619	254587976	Pold1	polymerase (DNA directed), delta 1, catalytic subunit	18971
ILMN_2515816	0.247231	2.91e-03	7.2225918	231567809	Cldn10	claudin 10	58187
ILMN_2721724	0.24975	2.96e-03	7.1968008	255003756	Dpp9	dipeptidylpeptidase 9	224897
ILMN_2707895	0.250847	3.04e-03	7.156016	557878655	Kdm3a	lysine (K)-specific demethylase 3A	104263
ILMN_2658566	0.250847	3.06e-03	7.1480461	802083930	Midn	midnolin	59090
ILMN_2834915	0.250847	3.07e-03	7.1442174	226958323	Slc22a5	solute carrier family 22 (organic cation transporter), member 5	20520
ILMN_2727799	0.250847	3.07e-03	7.141623	254553255	Trafd1	TRAF type zinc finger domain containing 1	231712
ILMN_2970742	0.250847	3.08e-03	7.1388448	111186462	Rnf170	ring finger protein 170	77733
ILMN_3162005	0.251434	3.15e-03	7.105854	47564089	Tmem204	transmembrane protein 204	407831
ILMN_2597868	0.251434	3.16e-03	7.0984396	118130389	Lgmn	legumain	19141
ILMN_2729374	0.251434	3.17e-03	7.0949744	357588438	Slc35c2	solute carrier family 35, member C2	228875
ILMN_2836654	0.251434	3.18e-03	7.0909365	589269234	Hist1h2ap	histone cluster 1, H2ap	319171
ILMN_2816356	0.251434	3.19e-03	7.085801	91807127	Ercc6l2	excision repair cross-complementing rodent repair deficiency, complementation group 6 like 2	76251
ILMN_3116560	0.251731	3.21e-03	7.0743349	557357689	St3gal5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	20454
ILMN_1245750	0.252512	3.25e-03	7.0556814	320461726	Prkcd	protein kinase C, delta	18753
ILMN_2785104	0.252512	3.26e-03	7.0505009	306774099	Srsf7	serine/arginine-rich splicing factor 7	225027
ILMN_3105343	0.258346	3.37e-03	7.0012693	161377448	Adarb1	adenosine deaminase, RNA-specific, B1	110532
ILMN_2655204	0.258346	3.38e-03	6.9974421	158966685	Apc	adenomatosis polyposis coli	11789
ILMN_2875163	0.258529	3.41e-03	6.9870288	227430314	Csnk1g2	casein kinase 1, gamma 2	103236
ILMN_1226035	0.259079	3.45e-03	6.9660218	146135006	Tbc1d20	TBC1 domain family, member 20	67231
ILMN_2848354	0.259079	3.46e-03	6.965334	141801945	Zfp771	zinc finger protein 771	244216
ILMN_2963792	0.260034	3.49e-03	6.9506833	229608907	Trmt1l	tRNA methyltransferase 1 like	98685
ILMN_1232025	0.260168	3.52e-03	6.939797	112181163	Tmco6	transmembrane and coiled-coil domains 6	71983
ILMN_1255570	0.260168	3.55e-03	6.9245699	142343848	Atp6v1a	ATPase, H+ transporting, lysosomal V1 subunit A	11964
ILMN_1217879	0.260168	3.56e-03	6.9227723	183583544	Erh	enhancer of rudimentary homolog (Drosophila)	13877
ILMN_1229702	0.260607	3.58e-03	6.9113331	133892152	Nrbp1	nuclear receptor binding protein 1	192292
ILMN_2778428	0.26287	3.64e-03	6.8896109	56605679	Thoc6	THO complex 6	386612
ILMN_2734060	0.263028	3.66e-03	6.8799093	229892314	Ndufaf4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4	68493
ILMN_2625687	0.269853	3.78e-03	6.8331778	237874258	Galnt1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1	14423
ILMN_1234054	0.271235	3.82e-03	6.8169258	146198784	Tmed8	transmembrane emp24 domain containing 8	382620
ILMN_3049455	0.271308	3.86e-03	6.8027667	133892935	Fxn	frataxin	14297
ILMN_2474858	0.271308	3.88e-03	6.7926204	194394238	Tnfaip2	tumor necrosis factor, alpha-induced protein 2	21928
ILMN_2625681	0.271308	3.89e-03	6.790806	237874258	Galnt1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1	14423
ILMN_2642671	0.272405	3.95e-03	6.7687663	550822408	Cnot6l	CCR4-NOT transcription complex, subunit 6-like	231464
ILMN_1252850	0.272405	3.97e-03	6.7597386	162287293	Rbm8a	RNA binding motif protein 8a	60365
ILMN_2924831	0.272405	3.97e-03	6.759593	459215041	Gas7	growth arrest specific 7	14457
ILMN_2627296	0.272522	3.99e-03	6.7506495	255918201	Pvr	poliovirus receptor	52118
ILMN_1224736	0.275323	4.06e-03	6.7273106	893565190	Zmiz1	zinc finger, MIZ-type containing 1	328365
ILMN_2635888	0.284297	4.21e-03	6.6719027	75905502	Fam120b	family with sequence similarity 120, member B	67544
ILMN_2747311	0.285624	4.27e-03	6.6540824	485464585	Atp6v0a2	ATPase, H+ transporting, lysosomal V0 subunit A2	21871
ILMN_2851888	0.285624	4.31e-03	6.6403847	229577262	Prkrip1	Prkr interacting protein 1 (IL11 inducible)	66801
ILMN_2930680	0.285624	4.33e-03	6.6315427	118130272	Lrfn3	leucine rich repeat and fibronectin type III domain containing 3	233067
ILMN_2737840	0.285624	4.34e-03	6.6276963	471270252	Tbxa2r	thromboxane A2 receptor	21390
ILMN_2680086	0.285624	4.35e-03	6.6248425	170014729	Rhbdd1	rhomboid domain containing 1	76867
ILMN_3150996	0.285681	4.38e-03	6.6166422	226823368	Blm	Bloom syndrome, RecQ helicase-like	12144
ILMN_2729447	0.290023	4.48e-03	6.5817428	140969611	Zfp871	zinc finger protein 871	208292
ILMN_3141781	0.290023	4.51e-03	6.5714664	295444830	Ttc19	tetratricopeptide repeat domain 19	72795
ILMN_2749686	0.290023	4.56e-03	6.5576772	698980002	Cdc37l1	cell division cycle 37-like 1	67072
ILMN_2694179	0.290023	4.57e-03	6.5524435	126506295	Ccl6	chemokine (C-C motif) ligand 6	20305
ILMN_1254966	0.290023	4.63e-03	6.5353126	213513164	Rbms1	RNA binding motif, single stranded interacting protein 1	56878
ILMN_2730514	0.290023	4.63e-03	6.5347554	215422356	Herpud2	HERPUD family member 2	80517
ILMN_2625680	0.290023	4.64e-03	6.5304502	237874258	Galnt1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1	14423
ILMN_2693835	0.290023	4.65e-03	6.5283159	58037218	Arrdc2	arrestin domain containing 2	70807
ILMN_2856095	0.290023	4.66e-03	6.5254632	253970496	Zc3h12a	zinc finger CCCH type containing 12A	230738
ILMN_2589790	0.290841	4.69e-03	6.5138874	927261963	Stat3	signal transducer and activator of transcription 3	20848
ILMN_2609772	0.294205	4.77e-03	6.4897029	1026284282	Ccdc82	coiled-coil domain containing 82	66396
ILMN_2900431	0.297489	4.85e-03	6.4661674	657188848	Rorc	RAR-related orphan receptor gamma	19885
ILMN_1234565	0.298865	4.90e-03	6.4521234	226442721	P4ha1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide	18451
ILMN_2699477	0.299701	4.94e-03	6.4407751	172088122	Abtb1	ankyrin repeat and BTB (POZ) domain containing 1	80283
ILMN_2534090	0.300958	4.98e-03	6.4274482	284172358	Mars	methionine-tRNA synthetase	216443
ILMN_2943722	0.301809	5.04e-03	6.4113054	890824840	Ociad2	OCIA domain containing 2	433904
ILMN_2843394	0.301809	5.09e-03	6.3958824	163965437	Ptgir	prostaglandin I receptor (IP)	19222
ILMN_2973824	0.301809	5.12e-03	6.3873477	133892566	Car14	carbonic anhydrase 14	23831
ILMN_1258206	0.301809	5.13e-03	6.3836436	163838659	Atm	ataxia telangiectasia mutated	11920
ILMN_2745433	0.301809	5.14e-03	6.3811154	118129827	Ergic1	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	67458
ILMN_2731260	0.301809	5.14e-03	6.3806711	160333479	Tmem143	transmembrane protein 143	70209
ILMN_2942499	0.301877	5.17e-03	6.3733636	256574797	Rbm5	RNA binding motif protein 5	83486
ILMN_1259946	0.302602	5.26e-03	6.3477289	558472829	Cdc42se1	CDC42 small effector 1	57912
ILMN_2678127	0.302602	5.27e-03	6.3446276	557128973	Rnf144a	ring finger protein 144A	108089
ILMN_1218206	0.302602	5.34e-03	6.325412	254750620	Klf13	Kruppel-like factor 13	50794
ILMN_2724868	0.302602	5.38e-03	6.317019	133892350	Appbp2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	66884
ILMN_2494397	0.302602	5.39e-03	6.3118922	546231021	Ube2j2	ubiquitin-conjugating enzyme E2J 2	140499
ILMN_2685464	0.302602	5.40e-03	6.3105253	118130862	Wwc2	WW, C2 and coiled-coil domain containing 2	52357
ILMN_2594768	0.302602	5.40e-03	6.3100569	213512207	Tha1	threonine aldolase 1	71776
ILMN_1238679	0.302602	5.44e-03	6.3005495	142362390	Atg101	autophagy related 101	68118
ILMN_2737704	0.302602	5.46e-03	6.2934615	410110914	Gja4	gap junction protein, alpha 4	14612
ILMN_1217849	0.302602	5.48e-03	6.2903589	145301582	Laptm5	lysosomal-associated protein transmembrane 5	16792
ILMN_3133352	0.302602	5.50e-03	6.2841852	101943420	Ung	uracil DNA glycosylase	22256
ILMN_2733330	0.302602	5.50e-03	6.2834069	254553320	Rps3a1	ribosomal protein S3A1	20091
ILMN_2707015	0.302602	5.51e-03	6.2822541	767172176	Mad2l2	MAD2 mitotic arrest deficient-like 2	71890
ILMN_1255255	0.30437	5.61e-03	6.2566193	118130200	Dync1li1	dynein cytoplasmic 1 light intermediate chain 1	235661
ILMN_1220275	0.30437	5.62e-03	6.2528123	157817519	Nrg4	neuregulin 4	83961
ILMN_2872246	0.30437	5.64e-03	6.248843	554790406	1810009A15Rik	RIKEN cDNA 1810009A15 gene	66276
ILMN_1235470	0.30437	5.64e-03	6.2474541	283436174	Hnrnpc	heterogeneous nuclear ribonucleoprotein C	15381
ILMN_1259277	0.30437	5.66e-03	6.2416249	255069808	Ddx28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	71986
ILMN_2645276	0.311183	5.82e-03	6.2034388	254939628	Spsb3	splA/ryanodine receptor domain and SOCS box containing 3	79043
ILMN_2703844	0.316896	5.96e-03	6.1674384	93102406	Eef1e1	eukaryotic translation elongation factor 1 epsilon 1	66143
ILMN_3096933	0.316896	6.01e-03	6.1576806	141801374	Top1mt	DNA topoisomerase 1, mitochondrial	72960
ILMN_1249547	0.316896	6.05e-03	6.1465493	169234809	Zfp292	zinc finger protein 292	30046
ILMN_2972585	0.316896	6.05e-03	6.1461811	255918201	Pvr	poliovirus receptor	52118
ILMN_2634750	0.316896	6.05e-03	6.1460724	567757611	Brca2	breast cancer 2, early onset	12190
ILMN_2828731	0.317826	6.14e-03	6.1251179	885493319	Scrib	scribbled planar cell polarity	105782
ILMN_2661287	0.317826	6.16e-03	6.1215482	563317856	Alpl	alkaline phosphatase, liver/bone/kidney	11647
ILMN_2482766	0.317826	6.17e-03	6.119477	240255580	Tspyl1	testis-specific protein, Y-encoded-like 1	22110
ILMN_2480180	0.317826	6.18e-03	6.1174016	654823696	Vti1a	vesicle transport through interaction with t-SNAREs 1A	53611
ILMN_1217262	0.322099	6.29e-03	6.0922622	118130277	Zfpl1	zinc finger like protein 1	81909
ILMN_2818717	0.33431	6.57e-03	6.0296146	594542489	Aftph	aftiphilin	216549
ILMN_2677772	0.33431	6.58e-03	6.0271829	402747080	Srxn1	sulfiredoxin 1 homolog (S. cerevisiae)	76650
ILMN_3096468	0.337572	6.71e-03	5.9988377	349732239	Gtf2ird1	general transcription factor II I repeat domain-containing 1	57080
ILMN_2697918	0.337572	6.73e-03	5.99527	229608907	Trmt1l	tRNA methyltransferase 1 like	98685
ILMN_1229777	0.337572	6.75e-03	5.9916291	70887771	Spag9	sperm associated antigen 9	70834
ILMN_2846776	0.337572	6.75e-03	5.9897463	930425324	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	12575
