ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_2924619	0.0772	0.00041865	4.883914	0.32565	0.30542857	118129867	Srl	sarcalumenin
ILMN_2757232	0.0772	0.00041976	4.882298	0.32322	0.49506551	959994608	Aqp4	aquaporin 4
ILMN_1217879	0.0772	0.0004271	-4.87179	0.3074	-0.19773083	183583544	Erh	enhancer of rudimentary homolog (Drosophila)
ILMN_2716464	0.0772	0.00042937	-4.868586	0.30258	-0.24784005	224967108	Gorasp2	golgi reassembly stacking protein 2
ILMN_3069857	0.0772	0.000445	4.846939	0.26993	0.29385488	82617574	Eprs	glutamyl-prolyl-tRNA synthetase
ILMN_2933394	0.0772	0.00044546	-4.846324	0.269	-0.29921979	NA		
ILMN_2769795	0.0772	0.00044591	-4.845707	0.26807	-0.23303477	77404187	Phkg1	phosphorylase kinase gamma 1
ILMN_1250555	0.0772	0.00045467	-4.833946	0.2503	-0.38819468	225579143	Ebpl	emopamil binding protein-like
ILMN_3123473	0.0772	0.0004577	4.829944	0.24424	0.21178936	255958291	Aldh18a1	aldehyde dehydrogenase 18 family, member A1
ILMN_1216985	0.0772	0.0004645	-4.821042	0.23077	-0.18138149	134032029	Elp2	elongator acetyltransferase complex subunit 2
ILMN_2944824	0.0772	0.00046558	-4.819631	0.22864	-0.8413597	254910958	Hp	haptoglobin
ILMN_2999762	0.0772	0.00046842	4.815965	0.22308	0.58647654	142348716	Fmod	fibromodulin
ILMN_2638558	0.0772	0.00047448	4.808223	0.21135	0.26763683	118130386	Pes1	pescadillo ribosomal biogenesis factor 1
ILMN_2700166	0.0772	0.00047712	4.804879	0.20628	0.4050768	80751174	Ccnd2	cyclin D2
ILMN_1216764	0.0772	0.00048822	-4.791024	0.18525	-0.64317547	118130957	Ier3	immediate early response 3
ILMN_1247603	0.0772	0.00049335	4.784731	0.17569	0.23223247	141802861	Fam20b	family with sequence similarity 20, member B
ILMN_2996973	0.0772	0.00049438	-4.783476	0.17378	-0.43651713	294712533	Gm4841	predicted gene 4841
ILMN_2715840	0.0772	0.00050026	4.776371	0.16298	0.32647405	113680119	C1qc	complement component 1, q subcomponent, C chain
ILMN_2859254	0.0772	0.00052275	-4.749964	0.12275	-0.26562036	406855411	Haghl	hydroxyacylglutathione hydrolase-like
ILMN_2944601	0.0772	0.0005235	-4.7491	0.12143	-0.36542864	NA		
ILMN_2738082	0.0772	0.00052759	-4.744439	0.11432	-1.07769788	87252710	Adipoq	adiponectin, C1Q and collagen domain containing
ILMN_1259180	0.0772	0.00053956	4.730984	0.09377	0.3772998	575077470	Rcan1	regulator of calcineurin 1
ILMN_1258578	0.0772	0.00054956	-4.719997	0.07697	-0.35739057	NA		
ILMN_3146196	0.0772	0.00054994	4.719577	0.07632	0.28075426	110347476	Akap1	A kinase (PRKA) anchor protein 1
ILMN_1216116	0.0772	0.00055264	-4.716651	0.07185	-0.26886797	194328770	Smarcd2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2
ILMN_1214934	0.0772	0.00055455	-4.714586	0.06869	-0.26193814	815891016	Cdk5rap3	CDK5 regulatory subunit associated protein 3
ILMN_1215919	0.0772	0.00056123	-4.707423	0.05772	-0.36074826	257096015	Egfl7	EGF-like domain 7
ILMN_2930680	0.0772	0.00057007	4.698086	0.0434	0.22552099	118130272	Lrfn3	leucine rich repeat and fibronectin type III domain containing 3
ILMN_2675152	0.0772	0.00057007	-4.698085	0.0434	-0.29421081	31340991	Vps37c	vacuolar protein sorting 37C
ILMN_2620069	0.0772	0.00057011	4.698043	0.04334	0.18354558	256985187	Polr1a	polymerase (RNA) I polypeptide A
ILMN_1249976	0.0772	0.00057252	4.695532	0.03949	0.25859445	126513132	Cfl2	cofilin 2, muscle
ILMN_2987937	0.0772	0.00057859	-4.689234	0.02982	-0.37379352	118130754	Golga4	golgi autoantigen, golgin subfamily a, 4
ILMN_2761594	0.0772	0.00058047	-4.687294	0.02684	-0.35889719	133893062	Cirbp	cold inducible RNA binding protein
ILMN_1246298	0.0772	0.00058077	4.686988	0.02638	0.2818664	547235287	Atp8a1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1
ILMN_2737713	0.0772	0.00059008	4.677501	0.0118	0.37114602	985567530	Edn1	endothelin 1
ILMN_1216469	0.0772	0.00059688	-4.670667	0.0013	-0.73783814	575402986	Kcnab1	potassium voltage-gated channel, shaker-related subfamily, beta member 1
ILMN_2933022	0.0772	0.00060312	-4.664469	-0.00824	-0.40621257	253683518	Plekhb1	pleckstrin homology domain containing, family B (evectins) member 1
ILMN_2844820	0.0772	0.0006107	4.657034	-0.01968	0.85879906	146198798	Angptl7	angiopoietin-like 7
ILMN_1230020	0.0772	0.00061618	4.651712	-0.02788	0.3125686	142348716	Fmod	fibromodulin
ILMN_2643977	0.0772	0.00062228	-4.645854	-0.03691	-0.23011841	118130035	Acat1	acetyl-Coenzyme A acetyltransferase 1
ILMN_2667972	0.0772	0.00062627	4.642054	-0.04277	0.22128401	349585217	Celf1	CUGBP, Elav-like family member 1
ILMN_2601379	0.0772	0.00062824	-4.640184	-0.04565	-0.28058991	359683146	Tmem205	transmembrane protein 205
ILMN_2490479	0.0772	0.00062993	-4.638582	-0.04812	-0.22477277	158508429	Ywhab	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide
ILMN_2835423	0.0772	0.00063371	-4.635027	-0.05361	-1.43309019	1043915956	Cfd	complement factor D (adipsin)
ILMN_2673566	0.0772	0.00063416	4.634605	-0.05426	0.30364626	118129916	Eif4ebp2	eukaryotic translation initiation factor 4E binding protein 2
ILMN_1231586	0.0772	0.00063626	4.63264	-0.05729	0.24613179	84490404	Sertad2	SERTA domain containing 2
ILMN_1223097	0.0772	0.00063758	-4.631412	-0.05919	-0.19574222	7657030	Nt5c	5',3'-nucleotidase, cytosolic
ILMN_2695035	0.0776	0.00064679	4.622894	-0.07234	0.32726876	70778928	Pja2	praja 2, RING-H2 motif containing
ILMN_2596259	0.0776	0.0006513	-4.618764	-0.07873	-0.25450011	141803188	Rtfdc1	replication termination factor 2 domain containing 1
ILMN_2706631	0.0791	0.00066897	4.60289	-0.10328	0.23317693	31543223	Smad4	SMAD family member 4
ILMN_2644140	0.0797	0.00068779	4.586454	-0.12875	0.26762133	802083945	Pank4	pantothenate kinase 4
ILMN_1225376	0.0797	0.00069223	-4.582638	-0.13467	-0.56399618	226246619	Smoc1	SPARC related modular calcium binding 1
ILMN_2761876	0.0797	0.00069442	-4.580772	-0.13757	-0.30525412	552953791	Fez2	fasciculation and elongation protein zeta 2 (zygin II)
ILMN_1236009	0.0797	0.00069536	-4.579969	-0.13881	-0.37306404	291291006	Camk2b	calcium/calmodulin-dependent protein kinase II, beta
ILMN_3150205	0.0802	0.00071403	4.564304	-0.16314	0.30610399	86198299	Gm5512	required for meiotic nuclear division 1 pseudogene
ILMN_1243370	0.0802	0.00071973	-4.559603	-0.17044	-0.39723878	141802562	Cyb5r1	cytochrome b5 reductase 1
ILMN_2637661	0.0802	0.0007235	4.55652	-0.17524	0.21302494	115583686	Prpf8	pre-mRNA processing factor 8
ILMN_2698564	0.0802	0.00072695	-4.553705	-0.17962	-0.30367625	887209819	Khk	ketohexokinase
ILMN_2699833	0.0802	0.00072996	-4.55127	-0.18341	-0.22617643	115495456	Kmt2b	lysine (K)-specific methyltransferase 2B
ILMN_1249888	0.0802	0.00073114	-4.550316	-0.18489	-0.20199656	86604720	Adcy6	adenylate cyclase 6
ILMN_2885277	0.0815	0.00074837	-4.536569	-0.2063	-0.68141716	901694056	Nnmt	nicotinamide N-methyltransferase
ILMN_2719324	0.0827	0.0007653	4.523386	-0.22685	0.21929669	117938304	Sobp	sine oculis-binding protein homolog (Drosophila)
ILMN_3049559	0.0838	0.00078064	-4.511693	-0.24511	-0.53691156	157951697	C4b	complement component 4B (Chido blood group)
ILMN_2869110	0.0846	0.00079367	4.501954	-0.26033	0.21199023	162287139	Comp	cartilage oligomeric matrix protein
ILMN_2709179	0.0846	0.0008027	-4.495304	-0.27073	-0.38231043	71043967	Eepd1	endonuclease/exonuclease/phosphatase family domain containing 1
ILMN_2747311	0.0846	0.00080553	4.493237	-0.27396	0.26201318	485464585	Atp6v0a2	ATPase, H+ transporting, lysosomal V0 subunit A2
ILMN_2713586	0.0846	0.00081038	-4.489707	-0.27948	-0.24974303	406855411	Haghl	hydroxyacylglutathione hydrolase-like
ILMN_3029489	0.0857	0.00082655	4.478102	-0.29766	0.35375792	238624243	Ciart	circadian associated repressor of transcription
ILMN_2685133	0.0891	0.00088102	4.440681	-0.3564	0.37190791	158508438	Timm21	tranlocase of inner mitochondrial membrane 21
ILMN_2683794	0.0891	0.00088189	-4.440108	-0.3573	-0.22441126	161377462	Oaz2	ornithine decarboxylase antizyme 2
ILMN_2941992	0.0891	0.00088873	-4.435582	-0.36441	-0.2303351	327478402	Psen2	presenilin 2
ILMN_2755372	0.0891	0.00089282	-4.4329	-0.36864	-0.38543556	24418924	Glb1l2	galactosidase, beta 1-like 2
ILMN_2979824	0.0891	0.00089759	4.429777	-0.37355	0.4949808	922959951	Rgs5	regulator of G-protein signaling 5
ILMN_3162820	0.0891	0.0009117	-4.420662	-0.3879	-0.423797	894216219	Tenm4	teneurin transmembrane protein 4
ILMN_2875938	0.0891	0.00091189	-4.420539	-0.3881	-0.23510178	902967404	Pccb	propionyl Coenzyme A carboxylase, beta polypeptide
ILMN_2689307	0.0891	0.00091202	4.42045	-0.38824	0.2788957	117938333	Sptbn1	spectrin beta, non-erythrocytic 1
ILMN_2633350	0.0891	0.00091318	4.419708	-0.38941	0.30084196	118130625	Mfap4	microfibrillar-associated protein 4
ILMN_1213053	0.0893	0.00092085	4.414824	-0.3971	0.17325559	146141150	Wars2	tryptophanyl tRNA synthetase 2 (mitochondrial)
ILMN_2658208	0.0897	0.00093359	4.406794	-0.40976	0.27634311	894216260	Kmt5a	lysine methyltransferase 5A
ILMN_2838645	0.0897	0.00093658	-4.40493	-0.4127	-0.26187732	146134887	Ssr3	signal sequence receptor, gamma
ILMN_1238614	0.0906	0.00095262	-4.395019	-0.42834	-0.24354445	61888837	Hsd17b10	hydroxysteroid (17-beta) dehydrogenase 10
ILMN_2710678	0.0914	0.00096658	4.386529	-0.44175	0.30552938	84370341	Nfic	nuclear factor I/C
ILMN_2964042	0.0917	0.00097628	4.380713	-0.45095	0.29251657	939106607	Bgn	biglycan
ILMN_2715201	0.0917	0.00098142	-4.377649	-0.45579	-0.24958489	124378041	Golga2	golgi autoantigen, golgin subfamily a, 2
ILMN_2757092	0.0922	0.0010001	4.366666	-0.47317	0.18443807	142348865	Hint3	histidine triad nucleotide binding protein 3
ILMN_2702193	0.0922	0.00100498	4.363835	-0.47765	0.19604325	262263356	Mxra7	matrix-remodelling associated 7
ILMN_2596713	0.0922	0.001006	-4.363246	-0.47858	-0.30247112	695917239	Aktip	thymoma viral proto-oncogene 1 interacting protein
ILMN_2872552	0.095	0.00104228	-4.342638	-0.51125	-0.25660442	327532739	Ccdc107	coiled-coil domain containing 107
ILMN_1218206	0.0972	0.00107271	4.325918	-0.53779	0.34798519	254750620	Klf13	Kruppel-like factor 13
ILMN_2644950	0.0983	0.0010914	-4.315896	-0.55372	-0.29080133	281427251	Tprkb	Tp53rk binding protein
ILMN_3155363	0.0984	0.00110006	4.311314	-0.56101	0.27372891	112421038	Ppl	periplakin
ILMN_1222674	0.0984	0.00110542	4.308496	-0.56549	0.39472683	595582155	Smap1	small ArfGAP 1
ILMN_1213573	0.0995	0.00113079	-4.295343	-0.58643	-0.25124524	342672094	Cacfd1	calcium channel flower domain containing 1
ILMN_2606873	0.0995	0.0011316	-4.294931	-0.58708	-0.19531518	145301585	Nelfcd	negative elongation factor complex member C/D, Th1l
ILMN_2623112	0.101	0.00115481	4.283176	-0.60582	0.23219911	51592074	Fam168a	family with sequence similarity 168, member A
ILMN_2694381	0.1036	0.00119325	-4.264234	-0.63605	-0.36602524	118130620	Dnajc7	DnaJ heat shock protein family (Hsp40) member C7
ILMN_2776230	0.1036	0.00120001	-4.260969	-0.64126	-0.22012885	675402557	Sumo3	small ubiquitin-like modifier 3
ILMN_1250075	0.1036	0.00120567	4.258253	-0.6456	0.2451659	612407857	Dpysl3	dihydropyrimidinase-like 3
ILMN_2666747	0.1042	0.00121845	4.252165	-0.65533	0.30180273	699045614	G3bp2	GTPase activating protein (SH3 domain) binding protein 2
ILMN_2915060	0.1045	0.0012292	-4.247092	-0.66345	-0.32820926	262205327	Dgkz	diacylglycerol kinase zeta
ILMN_2610744	0.1061	0.00125567	-4.234798	-0.68312	-0.46647812	118130182	Myl4	myosin, light polypeptide 4
ILMN_3124947	0.1066	0.00127517	-4.22591	-0.69736	-0.18821796	59889575	Zbtb18	zinc finger and BTB domain containing 18
ILMN_2667971	0.1066	0.00127705	4.225062	-0.69871	0.2385032	349585217	Celf1	CUGBP, Elav-like family member 1
ILMN_2955940	0.1066	0.00130282	-4.213552	-0.71717	-0.38619684	27754135	Chia1	chitinase, acidic 1
ILMN_2915059	0.1066	0.00130436	-4.212872	-0.71826	-0.31828809	262205327	Dgkz	diacylglycerol kinase zeta
ILMN_1256171	0.1066	0.00130566	4.212296	-0.71918	0.32119873	226342963	Tmem63b	transmembrane protein 63b
ILMN_2725035	0.1066	0.00130627	-4.212028	-0.71961	-0.24139899	225579143	Ebpl	emopamil binding protein-like
ILMN_2674324	0.1066	0.00131035	4.210234	-0.72249	0.2236933	239916004	Thop1	thimet oligopeptidase 1
ILMN_2782125	0.1093	0.0013505	-4.192866	-0.75037	-0.16435686	141801725	Wdr18	WD repeat domain 18
ILMN_1237375	0.11	0.00137208	-4.183753	-0.76502	-1.02312135	227908811	Scd1	stearoyl-Coenzyme A desaturase 1
ILMN_1236700	0.11	0.00137412	4.182898	-0.7664	0.78476669	312922380	Pde4d	phosphodiesterase 4D, cAMP specific
ILMN_1216661	0.1102	0.00138387	4.178835	-0.77293	0.27358959	163965432	Col6a2	collagen, type VI, alpha 2
ILMN_2763679	0.1105	0.00139552	4.174019	-0.78068	0.2028016	269784712	Sipa1l1	signal-induced proliferation-associated 1 like 1
ILMN_2944646	0.1108	0.00140544	-4.169954	-0.78722	-0.27157169	10946971	Cope	coatomer protein complex, subunit epsilon
ILMN_2652384	0.1112	0.00141979	-4.164121	-0.79661	-0.23059986	255982593	Igbp1	immunoglobulin (CD79A) binding protein 1
ILMN_2751090	0.1112	0.00142597	4.16163	-0.80062	0.28828078	142378303	Cep68	centrosomal protein 68
ILMN_2689790	0.1112	0.00144169	4.155336	-0.81076	0.26675667	168693653	Igfbp6	insulin-like growth factor binding protein 6
ILMN_2971043	0.1112	0.00144343	-4.154644	-0.81188	-0.38654502	270341336	Vmn1r65	vomeronasal 1 receptor 65
ILMN_1239724	0.1112	0.00144731	-4.153107	-0.81435	-0.22619989	142388089	Psmb1	proteasome (prosome, macropain) subunit, beta type 1
ILMN_1225712	0.1145	0.00150064	-4.132366	-0.84781	-0.25457502	NA		
ILMN_1236828	0.1145	0.00150552	-4.130508	-0.85081	-0.23103323	294997238	Usp20	ubiquitin specific peptidase 20
ILMN_2662926	0.1153	0.00152385	-4.123577	-0.862	-0.95298618	76559936	Egr1	early growth response 1
ILMN_2800183	0.1165	0.00154735	-4.114821	-0.87615	-0.33061302	399498537	Hoxd9	homeobox D9
ILMN_3163288	0.1165	0.00155811	-4.110858	-0.88256	-0.44735588	257096017	Egfl7	EGF-like domain 7
ILMN_1241789	0.1165	0.00156266	-4.10919	-0.88526	-0.294981	254692931	Sucnr1	succinate receptor 1
ILMN_1216042	0.1206	0.00162671	-4.086235	-0.92242	-0.44908953	802084019	Apoe	apolipoprotein E
ILMN_1235571	0.1211	0.00164049	-4.08142	-0.93022	-0.58336512	239937453	Cyr61	cysteine rich protein 61
ILMN_1241171	0.1222	0.00166347	4.07348	-0.94309	0.20706241	160707924	Anxa3	annexin A3
ILMN_2678094	0.1236	0.00169067	4.064229	-0.9581	0.32722767	70909350	Prrx1	paired related homeobox 1
ILMN_2724545	0.1255	0.00172465	-4.052888	-0.97651	-0.28545949	118130171	Sbk1	SH3-binding kinase 1
ILMN_2904819	0.1261	0.00175517	4.042895	-0.99275	0.33068257	146141127	Fam195a	family with sequence similarity 195, member A
ILMN_2896944	0.1261	0.00175578	-4.0427	-0.99307	-0.22884816	295789040	Aamdc	adipogenesis associated Mth938 domain containing
ILMN_3145415	0.1261	0.00176483	-4.039771	-0.99783	-0.26442051	158631209	Cstf3	cleavage stimulation factor, 3' pre-RNA, subunit 3
ILMN_2691815	0.1261	0.00178066	4.03469	-1.00609	0.28927277	699045614	G3bp2	GTPase activating protein (SH3 domain) binding protein 2
ILMN_2832524	0.1261	0.00178636	-4.032869	-1.00905	-0.2300647	953953822	Gpt	glutamic pyruvic transaminase, soluble
ILMN_2847332	0.1261	0.00179467	4.030231	-1.01334	0.33089416	262231836	Mid1ip1	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))
ILMN_1228031	0.1261	0.00179941	4.02873	-1.01578	0.31836872	326937456	Dusp8	dual specificity phosphatase 8
ILMN_1217009	0.1261	0.00179959	4.028672	-1.01588	0.38924946	165377073	Rab15	RAB15, member RAS oncogene family
ILMN_1258991	0.1274	0.00182767	4.019864	-1.03021	0.29793598	297206802	Wnk1	WNK lysine deficient protein kinase 1
ILMN_2716195	0.1301	0.00187412	4.005603	-1.05344	0.35433041	588480520	Hist1h2bh	histone cluster 1, H2bh
ILMN_2949021	0.1308	0.00189271	3.999996	-1.06258	0.5025606	142363800	Nceh1	neutral cholesterol ester hydrolase 1
ILMN_2674575	0.1335	0.0019455	-3.984381	-1.08806	-0.52040065	31982654	Mmd	monocyte to macrophage differentiation-associated
