ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_2754253	0.36415	1.08e-03	-4.55	-0.644	-3.38e-01	89001108	Gna13	guanine nucleotide binding protein, alpha 13
ILMN_2491719	0.36415	1.10e-03	4.54	-0.6584	2.48e-01	283837867	Zfp612	zinc finger protein 612
ILMN_2711075	0.36415	1.12e-03	-4.53	-0.6674	-2.51e-01	987996596	Mmp9	matrix metallopeptidase 9
ILMN_2622829	0.36415	1.13e-03	-4.52	-0.6767	-3.10e-01	254281346	Get4	golgi to ER traffic protein 4
ILMN_2732465	0.36415	1.15e-03	-4.51	-0.688	-3.08e-01	281485601	Mef2c	myocyte enhancer factor 2C
ILMN_2841289	0.36415	1.16e-03	-4.51	-0.6935	-4.30e-01	194394238	Tnfaip2	tumor necrosis factor, alpha-induced protein 2
ILMN_2815506	0.38675	1.29e-03	-4.43	-0.783	-2.68e-01	158508431	Gamt	guanidinoacetate methyltransferase
ILMN_2516833	0.38675	1.30e-03	-4.43	-0.786	-7.90e-01	114326467	Zhx2	zinc fingers and homeoboxes 2
ILMN_2650751	0.38675	1.34e-03	-4.41	-0.8087	-1.99e-01	133891785	Pex14	peroxisomal biogenesis factor 14
ILMN_2959729	0.38675	1.34e-03	-4.41	-0.8121	-4.36e-01	47575839	Arhgap20	Rho GTPase activating protein 20
ILMN_2680618	0.38675	1.35e-03	-4.40	-0.8189	-1.87e-01	118131085	Crtc1	CREB regulated transcription coactivator 1
ILMN_2759736	0.3884	1.39e-03	4.39	-0.837	4.00e-01	328447191	Lrrn1	leucine rich repeat protein 1, neuronal
ILMN_2689333	0.39548	1.44e-03	-4.37	-0.8658	-2.76e-01	158631204	Csnk1e	casein kinase 1, epsilon
ILMN_1215661	0.4021	1.49e-03	-4.34	-0.8932	-4.24e-01	594190789	Traf2	TNF receptor-associated factor 2
ILMN_3162081	0.40454	1.54e-03	-4.32	-0.918	-3.78e-01	31981423	Wdr6	WD repeat domain 6
ILMN_2666483	0.40454	1.56e-03	-4.31	-0.9313	-3.62e-01	134053923	Ruvbl1	RuvB-like protein 1
ILMN_1236845	0.40454	1.58e-03	-4.31	-0.9394	-2.31e-01	158508697	Gfod2	glucose-fructose oxidoreductase domain containing 2
ILMN_2984647	0.41103	1.64e-03	-4.28	-0.9688	-3.30e-01	1043392476	Ap1m1	adaptor-related protein complex AP-1, mu subunit 1
ILMN_2955755	0.41103	1.68e-03	-4.27	-0.9878	-3.15e-01	160333599	Fbxo38	F-box protein 38
ILMN_1212982	0.41103	1.68e-03	-4.27	-0.9915	-3.10e-01	557786094	Zfp318	zinc finger protein 318
ILMN_1240471	0.41949	1.77e-03	4.23	-1.0297	4.08e-01	87044905	Retsat	retinol saturase (all trans retinol 13,14 reductase)
ILMN_2684178	0.41949	1.77e-03	-4.23	-1.033	-3.84e-01	259906013	Amhr2	anti-Mullerian hormone type 2 receptor
ILMN_2962747	0.42182	1.84e-03	-4.21	-1.0615	-3.26e-01	9789958	Fzr1	fizzy/cell division cycle 20 related 1 (Drosophila)
ILMN_1248298	0.42182	1.84e-03	-4.21	-1.062	-2.13e-01	254750634	Plxdc1	plexin domain containing 1
ILMN_2670375	0.42228	1.93e-03	4.18	-1.0994	3.80e-01	133892559	Itm2b	integral membrane protein 2B
ILMN_2632509	0.42228	1.95e-03	-4.17	-1.1066	-5.29e-01	118130995	Ppp1r14c	protein phosphatase 1, regulatory (inhibitor) subunit 14c
ILMN_2978838	0.42228	1.95e-03	4.17	-1.1073	6.61e-01	146149255	Mat2a	methionine adenosyltransferase II, alpha
ILMN_2671644	0.42228	1.97e-03	-4.17	-1.1147	-2.25e-01	238814330	Cbfb	core binding factor beta
ILMN_1215884	0.42228	1.98e-03	-4.16	-1.1212	-4.20e-01	86476089	Pde4dip	phosphodiesterase 4D interacting protein (myomegalin)
ILMN_3161060	0.42315	2.03e-03	-4.15	-1.1425	-1.04	124244069	Trim63	tripartite motif-containing 63
ILMN_2424555	0.42315	2.07e-03	-4.13	-1.1564	-2.14e-01	697272172	Zkscan6	zinc finger with KRAB and SCAN domains 6
ILMN_2945940	0.42315	2.10e-03	4.13	-1.1668	1.77e-01	323637459	Rapgef4	Rap guanine nucleotide exchange factor (GEF) 4
ILMN_1247257	0.42315	2.13e-03	-4.12	-1.1797	-3.83e-01	224922802	Gpd2	glycerol phosphate dehydrogenase 2, mitochondrial
ILMN_2622891	0.42315	2.16e-03	-4.11	-1.1898	-2.07e-01	39930440	2210016L21Rik	RIKEN cDNA 2210016L21 gene
ILMN_2668020	0.42315	2.16e-03	-4.11	-1.1909	-3.15e-01	146135070	Syt9	synaptotagmin IX
ILMN_1255422	0.42315	2.25e-03	4.08	-1.2214	5.01e-01	161353445	Noct	nocturnin
ILMN_2680086	0.42315	2.25e-03	-4.08	-1.2233	-1.98e-01	170014729	Rhbdd1	rhomboid domain containing 1
ILMN_1257365	0.42315	2.31e-03	-4.06	-1.2459	-2.40e-01	928778330	Thra	thyroid hormone receptor alpha
ILMN_2892650	0.42315	2.32e-03	4.06	-1.2488	1.69e-01	31982652	Tmem35	transmembrane protein 35
ILMN_2988299	0.42315	2.32e-03	-4.06	-1.2493	-2.23e-01	133892959	Srf	serum response factor
ILMN_1259610	0.42315	2.36e-03	-4.05	-1.2632	-3.48e-01	156151359	Cd276	CD276 antigen
ILMN_2955940	0.42315	2.38e-03	-4.05	-1.2696	-3.36e-01	27754135	Chia1	chitinase, acidic 1
ILMN_2686183	0.42315	2.39e-03	-4.04	-1.2721	-2.46e-01	377652332	Map1lc3a	microtubule-associated protein 1 light chain 3 alpha
ILMN_1226985	0.42315	2.41e-03	-4.04	-1.2768	-2.68e-01	160333373	Scamp2	secretory carrier membrane protein 2
ILMN_2533459	0.42393	2.44e-03	-4.03	-1.2877	-1.74e-01	NA		
ILMN_2763459	0.42393	2.47e-03	-4.02	-1.2968	-2.19e-01	146198715	Tbcel	tubulin folding cofactor E-like
ILMN_1249005	0.43351	2.57e-03	4.00	-1.3298	1.47e-01	116089295	Slfn9	schlafen 9
ILMN_2491589	0.43351	2.58e-03	-4.00	-1.333	-3.57e-01	31343305	Vgll4	vestigial like family member 4
ILMN_1258977	0.43469	2.61e-03	3.99	-1.3442	4.85e-01	550544181	Tmem33	transmembrane protein 33
ILMN_2648189	0.43469	2.64e-03	3.98	-1.353	2.14e-01	575403009	Klf10	Kruppel-like factor 10
ILMN_1234111	0.43958	2.72e-03	-3.96	-1.3774	-4.64e-01	254028265	Vtn	vitronectin
ILMN_2668849	0.43958	2.74e-03	-3.96	-1.3828	-2.43e-01	530339559	Zmynd8	zinc finger, MYND-type containing 8
ILMN_2905866	0.43958	2.76e-03	-3.95	-1.388	-3.08e-01	240120091	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
ILMN_1240019	0.44115	2.80e-03	-3.95	-1.3993	-2.32e-01	601983581	Cux1	cut-like homeobox 1
ILMN_2655204	0.44329	2.85e-03	-3.94	-1.4127	-2.42e-01	158966685	Apc	adenomatosis polyposis coli
ILMN_1241980	0.44329	2.87e-03	-3.93	-1.4199	-1.78e-01	142350164	Cdk11b	cyclin-dependent kinase 11B
ILMN_2433320	0.44406	2.91e-03	3.92	-1.4296	1.84e-01	922304293	Trpc5	transient receptor potential cation channel, subfamily C, member 5
ILMN_2650439	0.45973	3.04e-03	-3.89	-1.4671	-3.75e-01	237874258	Galnt1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1
ILMN_2666279	0.45973	3.07e-03	3.89	-1.4739	5.72e-01	NA		
ILMN_1239718	0.46962	3.17e-03	-3.87	-1.4992	-5.44e-01	530537223	Tekt1	tektin 1
ILMN_1240332	0.47398	3.26e-03	-3.85	-1.5228	-1.83e-01	51799027	Zdhhc14	zinc finger, DHHC domain containing 14
ILMN_2907560	0.47398	3.31e-03	-3.84	-1.5343	-6.43e-01	158635945	Fzd7	frizzled class receptor 7
ILMN_2679513	0.47398	3.31e-03	-3.84	-1.5355	-1.90e-01	256355213	Rab40c	Rab40C, member RAS oncogene family
ILMN_3108623	0.47398	3.34e-03	-3.84	-1.5427	-6.38e-01	86990457	Kif1b	kinesin family member 1B
ILMN_2870672	0.47398	3.42e-03	3.82	-1.5627	6.66e-01	168693627	Fbln1	fibulin 1
ILMN_2684693	0.47398	3.45e-03	-3.82	-1.5686	-2.01e-01	315113874	Dusp3	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)
ILMN_3161767	0.47398	3.45e-03	-3.82	-1.5691	-1.88e-01	30410009	Dhx38	DEAH (Asp-Glu-Ala-His) box polypeptide 38
ILMN_2639291	0.47398	3.48e-03	3.81	-1.5759	2.47e-01	NA		
ILMN_1243499	0.47398	3.51e-03	-3.81	-1.5827	-4.18e-01	459352740	Ide	insulin degrading enzyme
ILMN_2699477	0.47398	3.51e-03	-3.81	-1.5828	-3.44e-01	172088122	Abtb1	ankyrin repeat and BTB (POZ) domain containing 1
ILMN_2754954	0.47572	3.55e-03	-3.80	-1.5932	-3.80e-01	118026922	Mpp3	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)
ILMN_2705203	0.47572	3.61e-03	-3.79	-1.6065	-5.69e-01	134053861	Magix	MAGI family member, X-linked
ILMN_2788121	0.47572	3.67e-03	3.78	-1.6193	5.30e-01	213688405	Dynll1	dynein light chain LC8-type 1
ILMN_2772728	0.47572	3.72e-03	-3.77	-1.6308	-2.67e-01	117938304	Sobp	sine oculis-binding protein homolog (Drosophila)
ILMN_2873444	0.47572	3.77e-03	-3.76	-1.6412	-1.17	341926178	Fbxo32	F-box protein 32
ILMN_2674890	0.47572	3.79e-03	-3.76	-1.6455	-2.98e-01	142348182	Tbl1x	transducin (beta)-like 1 X-linked
ILMN_2657791	0.47572	3.84e-03	-3.75	-1.6568	-1.91e-01	444299611	Cdkl2	cyclin-dependent kinase-like 2 (CDC2-related kinase)
ILMN_2773485	0.47572	3.90e-03	-3.74	-1.6699	-2.74e-01	557636692	Thnsl2	threonine synthase-like 2 (bacterial)
ILMN_2827162	0.47572	3.92e-03	-3.74	-1.6736	-2.05e-01	254750634	Plxdc1	plexin domain containing 1
ILMN_1240264	0.47572	3.94e-03	3.74	-1.6765	4.60e-01	114052525	Usp2	ubiquitin specific peptidase 2
ILMN_2957987	0.47572	3.94e-03	3.74	-1.6765	2.98e-01	161377417	Perm1	PPARGC1 and ESRR induced regulator, muscle 1
ILMN_2607297	0.47572	3.94e-03	-3.73	-1.6781	-2.13e-01	258679530	Mon1a	MON1 homolog A, secretory traffciking associated
ILMN_2627205	0.47572	4.04e-03	-3.72	-1.697	-3.47e-01	530339559	Zmynd8	zinc finger, MYND-type containing 8
ILMN_2780848	0.47572	4.04e-03	-3.72	-1.6983	-1.98e-01	255308927	Hip1r	huntingtin interacting protein 1 related
ILMN_2523316	0.47572	4.11e-03	-3.71	-1.7123	-1.77e-01	85861261	Unc5b	unc-5 netrin receptor B
ILMN_2971043	0.47572	4.14e-03	-3.70	-1.7188	-4.69e-01	270341336	Vmn1r65	vomeronasal 1 receptor 65
ILMN_1248733	0.47572	4.15e-03	-3.70	-1.7208	-2.47e-01	142383894	Pa2g4	proliferation-associated 2G4
ILMN_2678373	0.47572	4.17e-03	-3.70	-1.7238	-2.53e-01	327365363	Kat6b	K(lysine) acetyltransferase 6B
ILMN_2890533	0.47572	4.19e-03	3.70	-1.7274	4.22e-01	NA		
ILMN_2844820	0.47572	4.22e-03	3.69	-1.7333	1.49	146198798	Angptl7	angiopoietin-like 7
ILMN_2763825	0.47572	4.28e-03	-3.68	-1.746	-2.21e-01	58037170	Ipmk	inositol polyphosphate multikinase
ILMN_2747381	0.47572	4.40e-03	-3.67	-1.7669	-6.15e-01	226958383	Ddx24	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24
ILMN_2972026	0.47572	4.43e-03	-3.66	-1.7741	-1.62e-01	148226896	Cebpg	CCAAT/enhancer binding protein (C/EBP), gamma
ILMN_2727799	0.47572	4.45e-03	-3.66	-1.7779	-3.38e-01	254553255	Trafd1	TRAF type zinc finger domain containing 1
ILMN_2492500	0.47572	4.46e-03	-3.66	-1.7785	-1.63e-01	357197186	Zeb1	zinc finger E-box binding homeobox 1
ILMN_1225918	0.47572	4.48e-03	-3.66	-1.7834	-1.51e-01	594591549	Golga1	golgi autoantigen, golgin subfamily a, 1
ILMN_2623112	0.47572	4.49e-03	-3.66	-1.7848	-2.33e-01	51592074	Fam168a	family with sequence similarity 168, member A
ILMN_3004970	0.47572	4.53e-03	-3.65	-1.7908	-2.96e-01	226443020	Nap1l1	nucleosome assembly protein 1-like 1
ILMN_1219423	0.47572	4.53e-03	3.65	-1.7911	4.12e-01	NA		
ILMN_2913269	0.47572	4.55e-03	3.65	-1.7961	1.28e-01	341926249	Nepro	nucleolus and neural progenitor protein
ILMN_2739843	0.47572	4.64e-03	-3.64	-1.8115	-3.96e-01	56550040	Metrn	meteorin, glial cell differentiation regulator
ILMN_2900653	0.47572	4.65e-03	-3.63	-1.8138	-4.61e-01	6678979	Gadd45b	growth arrest and DNA-damage-inducible 45 beta
ILMN_3038404	0.47572	4.66e-03	-3.63	-1.8148	-3.11e-01	556503443	Tcf25	transcription factor 25 (basic helix-loop-helix)
ILMN_2725807	0.47572	4.76e-03	-3.62	-1.8319	-3.21e-01	270288743	Phf14	PHD finger protein 14
ILMN_2604688	0.47572	4.78e-03	-3.62	-1.8354	-4.15e-01	116256501	Ap2a1	adaptor-related protein complex 2, alpha 1 subunit
ILMN_2634286	0.47572	4.83e-03	3.61	-1.8439	1.44e-01	226958444	Igfbp7	insulin-like growth factor binding protein 7
ILMN_1257299	0.47572	4.83e-03	3.61	-1.8449	9.00e-01	181337096	G0s2	G0/G1 switch gene 2
ILMN_2863905	0.47572	4.89e-03	-3.60	-1.8537	-3.05e-01	765099223	Rnf25	ring finger protein 25
ILMN_2609056	0.47572	4.90e-03	-3.60	-1.8554	-2.99e-01	258613869	Ago2	argonaute RISC catalytic subunit 2
ILMN_2638061	0.47572	5.01e-03	-3.59	-1.874	-2.79e-01	356995844	Tsc22d4	TSC22 domain family, member 4
ILMN_2870623	0.47572	5.01e-03	-3.59	-1.8742	-3.60e-01	118131107	Zfp251	zinc finger protein 251
ILMN_2659269	0.47572	5.03e-03	-3.59	-1.8779	-2.14e-01	160333232	Gprc5c	G protein-coupled receptor, family C, group 5, member C
ILMN_2647533	0.47572	5.04e-03	-3.59	-1.8798	-6.69e-01	82734230	Slc41a3	solute carrier family 41, member 3
ILMN_2595774	0.47572	5.05e-03	-3.58	-1.8802	-2.76e-01	51491879	Mta2	metastasis-associated gene family, member 2
ILMN_2841290	0.47572	5.07e-03	-3.58	-1.8837	-3.57e-01	194394238	Tnfaip2	tumor necrosis factor, alpha-induced protein 2
ILMN_2921303	0.47572	5.16e-03	3.57	-1.8987	1.72e-01	274325031	Tyms-ps	thymidylate synthase, pseudogene
ILMN_1232121	0.47572	5.19e-03	-3.57	-1.9026	-4.28e-01	575501705	Zeb2	zinc finger E-box binding homeobox 2
ILMN_1214950	0.47572	5.20e-03	-3.57	-1.9052	-7.36e-01	281485601	Mef2c	myocyte enhancer factor 2C
ILMN_2669146	0.47572	5.23e-03	-3.56	-1.91	-3.47e-01	451172079	Synrg	synergin, gamma
ILMN_1249547	0.47572	5.26e-03	-3.56	-1.9139	-5.21e-01	169234809	Zfp292	zinc finger protein 292
ILMN_1238871	0.47572	5.29e-03	-3.56	-1.9186	-2.17e-01	40254513	Gapvd1	GTPase activating protein and VPS9 domains 1
ILMN_2908953	0.47572	5.29e-03	-3.56	-1.9186	-1.90e-01	229577049	Ccdc181	coiled-coil domain containing 181
ILMN_3128535	0.47572	5.29e-03	-3.56	-1.9197	-5.63e-01	254939669	Samd4	sterile alpha motif domain containing 4
ILMN_2832641	0.47572	5.31e-03	-3.55	-1.9229	-2.23e-01	145279230	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
ILMN_1250201	0.47572	5.32e-03	-3.55	-1.924	-3.39e-01	325995129	Fndc10	fibronectin type III domain containing 10
ILMN_2593496	0.47572	5.34e-03	3.55	-1.9267	1.84e-01	133892509	Got2	glutamatic-oxaloacetic transaminase 2, mitochondrial
ILMN_2943176	0.47572	5.34e-03	-3.55	-1.9271	-6.08e-01	142366889	Klhl8	kelch-like 8
ILMN_2652518	0.47572	5.37e-03	-3.55	-1.9319	-2.45e-01	118197273	Atg2b	autophagy related 2B
ILMN_2964042	0.47572	5.38e-03	3.55	-1.9324	4.02e-01	939106607	Bgn	biglycan
ILMN_1242837	0.47588	5.41e-03	-3.54	-1.9375	-2.07e-01	16716602	Gtf2ird2	GTF2I repeat domain containing 2
ILMN_2676716	0.47952	5.50e-03	-3.53	-1.951	-1.44e-01	657940869	Chtop	chromatin target of PRMT1
ILMN_1215233	0.47952	5.72e-03	-3.51	-1.9831	-2.39e-01	225543445	Tmem167b	transmembrane protein 167B
ILMN_1227758	0.47952	5.72e-03	3.51	-1.9841	1.32e-01	327365339	Arhgap27	Rho GTPase activating protein 27
ILMN_2675152	0.47952	5.73e-03	-3.51	-1.9851	-4.83e-01	31340991	Vps37c	vacuolar protein sorting 37C
ILMN_2430220	0.47952	5.74e-03	-3.51	-1.9858	-4.67e-01	557357738	Tmem2	transmembrane protein 2
ILMN_2606667	0.47952	5.79e-03	-3.50	-1.993	-4.17e-01	161016791	Ddx6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6
ILMN_2768805	0.47952	5.80e-03	-3.50	-1.9944	-1.78e-01	260099669	Pkn2	protein kinase N2
ILMN_2704927	0.47952	5.80e-03	-3.50	-1.9952	-1.64e-01	256355175	Xxylt1	xyloside xylosyltransferase 1
ILMN_3158500	0.47952	5.82e-03	-3.50	-1.9978	-2.68e-01	225690607	Hs6st1	heparan sulfate 6-O-sulfotransferase 1
ILMN_2752702	0.47952	5.98e-03	-3.48	-2.0203	-2.17e-01	902763377	Klhl12	kelch-like 12
ILMN_2716098	0.47952	6.00e-03	3.48	-2.0224	4.79e-01	114145504	Hsph1	heat shock 105kDa/110kDa protein 1
ILMN_2603299	0.47952	6.00e-03	-3.48	-2.0227	-2.83e-01	480354949	Cav3	caveolin 3
ILMN_2860242	0.47952	6.03e-03	-3.48	-2.0265	-2.73e-01	46447824	Klhl24	kelch-like 24
ILMN_2865448	0.47952	6.11e-03	3.47	-2.0374	1.82e-01	145386540	Madcam1	mucosal vascular addressin cell adhesion molecule 1
ILMN_1225196	0.47952	6.11e-03	-3.47	-2.0375	-2.74e-01	1041817900	Tgfb2	transforming growth factor, beta 2
ILMN_2658914	0.47952	6.13e-03	-3.47	-2.0404	-1.48e-01	158966700	Bend3	BEN domain containing 3
ILMN_1217329	0.47952	6.15e-03	-3.47	-2.0437	-2.70e-01	62530193	Sppl3	signal peptide peptidase 3
ILMN_2700097	0.47952	6.20e-03	-3.46	-2.0498	-3.13e-01	530537223	Tekt1	tektin 1
ILMN_1259162	0.47952	6.21e-03	-3.46	-2.0508	-1.29e-01	741866084	Traf6	TNF receptor-associated factor 6
ILMN_1224736	0.47952	6.22e-03	-3.46	-2.0523	-1.60e-01	893565190	Zmiz1	zinc finger, MIZ-type containing 1
ILMN_2674315	0.47952	6.23e-03	-3.46	-2.0534	-2.64e-01	553727195	Dysf	dysferlin
ILMN_2483304	0.47952	6.24e-03	3.46	-2.0548	4.61e-01	118131124	Lyve1	lymphatic vessel endothelial hyaluronan receptor 1
ILMN_2822053	0.47952	6.28e-03	-3.45	-2.06	-3.19e-01	133892174	Stx4a	syntaxin 4A (placental)
ILMN_2625094	0.47952	6.39e-03	-3.44	-2.0751	-3.77e-01	142364546	Klhl38	kelch-like 38
ILMN_3142391	0.47952	6.39e-03	-3.44	-2.0755	-2.27e-01	146198768	Slc22a23	solute carrier family 22, member 23
ILMN_2756223	0.47952	6.40e-03	-3.44	-2.0761	-2.14e-01	238776829	Apol10b	apolipoprotein L 10B
ILMN_2645276	0.47952	6.49e-03	-3.43	-2.0877	-2.49e-01	254939628	Spsb3	splA/ryanodine receptor domain and SOCS box containing 3
ILMN_3114585	0.47952	6.50e-03	3.43	-2.0887	1.90e-01	85540465	Cd44	CD44 antigen
ILMN_1242025	0.47952	6.50e-03	-3.43	-2.0895	-3.90e-01	118130234	Kcnc4	potassium voltage gated channel, Shaw-related subfamily, member 4
ILMN_1228568	0.47952	6.52e-03	-3.43	-2.0914	-2.70e-01	32129220	Irf2bp1	interferon regulatory factor 2 binding protein 1
ILMN_2600779	0.47952	6.53e-03	3.43	-2.0929	3.71e-01	142376092	Ip6k3	inositol hexaphosphate kinase 3
ILMN_1214975	0.47952	6.59e-03	-3.42	-2.1	-1.97e-01	560879452	Amigo1	adhesion molecule with Ig like domain 1
ILMN_2633350	0.47952	6.59e-03	3.42	-2.1008	2.60e-01	118130625	Mfap4	microfibrillar-associated protein 4
ILMN_2738156	0.47952	6.60e-03	-3.42	-2.1012	-1.72e-01	124487368	Zfp362	zinc finger protein 362
ILMN_1257515	0.47952	6.60e-03	-3.42	-2.1016	-4.14e-01	255918176	Mcrs1	microspherule protein 1
ILMN_2994042	0.47952	6.61e-03	-3.42	-2.1032	-2.33e-01	259906013	Amhr2	anti-Mullerian hormone type 2 receptor
ILMN_2820948	0.47952	6.62e-03	3.42	-2.1046	4.15e-01	170172519	Dbt	dihydrolipoamide branched chain transacylase E2
ILMN_2718716	0.48066	6.67e-03	-3.42	-2.1109	-4.19e-01	551411745	Kif21a	kinesin family member 21A
ILMN_1213958	0.48066	6.70e-03	-3.41	-2.1144	-3.73e-01	67906176	Sec23a	SEC23 homolog A, COPII coat complex component
ILMN_1232182	0.48308	6.80e-03	-3.41	-2.1258	-2.33e-01	213513125	Ctnnbip1	catenin beta interacting protein 1
ILMN_2474858	0.48308	6.84e-03	-3.40	-2.1306	-3.26e-01	194394238	Tnfaip2	tumor necrosis factor, alpha-induced protein 2
ILMN_2644708	0.48308	6.86e-03	-3.40	-2.134	-2.24e-01	158508447	Fam204a	family with sequence similarity 204, member A
ILMN_2860174	0.48308	6.86e-03	-3.40	-2.1341	-1.66e-01	295293218	Pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
ILMN_2728985	0.48379	6.91e-03	3.40	-2.1391	1.72e-01	168693627	Fbln1	fibulin 1
