ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1242677	0.14095	5.08e-04	5.0467998	0.19635	0.32941899	46877108	Galnt2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2
ILMN_1240019	0.14095	5.13e-04	5.0409056	0.18864	0.27477202	601983581	Cux1	cut-like homeobox 1
ILMN_2905866	0.14095	5.34e-04	5.0131536	0.15228	0.37947173	240120091	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
ILMN_2590321	0.14095	5.53e-04	4.988907	0.1204	0.62916232	146134914	Nhlrc2	NHL repeat containing 2
ILMN_2700265	0.14095	5.56e-04	4.9859573	0.11652	0.39491785	6755033	Pex11a	peroxisomal biogenesis factor 11 alpha
ILMN_2730926	0.14095	5.56e-04	4.985163	0.11547	0.68700468	146198816	Lsm12	LSM12 homolog
ILMN_2963580	0.14095	5.59e-04	4.9819967	0.1113	0.35787704	146198816	Lsm12	LSM12 homolog
ILMN_1233664	0.14769	5.95e-04	4.9391427	0.05465	0.33587178	158966702	Fam222b	family with sequence similarity 222, member B
ILMN_1256121	0.15019	6.22e-04	4.9101251	0.01612	0.2197853	114158688	Zfp282	zinc finger protein 282
ILMN_1247603	0.15019	6.34e-04	4.8969064	-0.00149	0.31816676	141802861	Fam20b	family with sequence similarity 20, member B
ILMN_2609056	0.15019	6.35e-04	4.8953921	-0.00351	0.39679437	258613869	Ago2	argonaute RISC catalytic subunit 2
ILMN_2930680	0.15105	6.49e-04	4.8811205	-0.02255	0.5648618	118130272	Lrfn3	leucine rich repeat and fibronectin type III domain containing 3
ILMN_2964785	0.15124	6.68e-04	4.8613587	-0.04898	0.27717975	85986588	Zfhx2	zinc finger homeobox 2
ILMN_1221634	0.15124	6.70e-04	4.8599201	-0.0509	0.34633382	145279230	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
ILMN_2695035	0.15423	6.93e-04	4.8368494	-0.08184	0.55876969	70778928	Pja2	praja 2, RING-H2 motif containing
ILMN_1255871	0.15565	7.10e-04	4.8209088	-0.10328	0.47655434	255759948	Loxl1	lysyl oxidase-like 1
ILMN_2887992	0.1595	7.48e-04	4.7856119	-0.15089	0.81703409	281485601	Mef2c	myocyte enhancer factor 2C
ILMN_1258991	0.1595	7.52e-04	4.7822448	-0.15545	0.43113394	297206802	Wnk1	WNK lysine deficient protein kinase 1
ILMN_2458671	0.1595	7.59e-04	4.7762049	-0.16362	0.22271878	238637302	Vldlr	very low density lipoprotein receptor
ILMN_2662926	0.16242	7.87e-04	-4.751957	-0.19649	-1.22140013	76559936	Egr1	early growth response 1
ILMN_2853957	0.16242	7.94e-04	4.7459443	-0.20466	0.49883909	451898102	Dag1	dystroglycan 1
ILMN_2686183	0.16244	8.05e-04	4.7369269	-0.21692	0.3361658	377652332	Map1lc3a	microtubule-associated protein 1 light chain 3 alpha
ILMN_3108623	0.16464	8.27e-04	4.7192537	-0.24099	0.86497891	86990457	Kif1b	kinesin family member 1B
ILMN_2650751	0.16719	8.51e-04	4.7004122	-0.2667	0.2886466	133891785	Pex14	peroxisomal biogenesis factor 14
ILMN_1223862	0.17804	9.24e-04	4.6458454	-0.34152	0.32335252	601983581	Cux1	cut-like homeobox 1
ILMN_3124885	0.17804	9.30e-04	4.6420395	-0.34676	0.82734642	557786143	Pdpk1	3-phosphoinositide dependent protein kinase 1
ILMN_2506499	0.1856	9.83e-04	4.6050959	-0.39773	0.40710252	146198826	Ube3a	ubiquitin protein ligase E3A
ILMN_2693295	0.1856	9.95e-04	4.5975885	-0.40811	0.70043452	341926161	Prkg1	protein kinase, cGMP-dependent, type I
ILMN_2682788	0.1856	1.01e-03	4.5903154	-0.41818	0.21980571	558611364	Jund	jun D proto-oncogene
ILMN_2768805	0.19262	1.06e-03	4.5581408	-0.46284	0.2785176	260099669	Pkn2	protein kinase N2
ILMN_2984647	0.19295	1.07e-03	4.5492037	-0.47527	0.333255	1043392476	Ap1m1	adaptor-related protein complex AP-1, mu subunit 1
ILMN_1243499	0.19674	1.11e-03	4.5288551	-0.50363	0.72328348	459352740	Ide	insulin degrading enzyme
ILMN_3049455	0.19861	1.13e-03	4.512132	-0.52699	0.27730547	133892935	Fxn	frataxin
ILMN_2594855	0.19861	1.14e-03	4.5075843	-0.53335	0.95399677	158711672	Pdpk1	3-phosphoinositide dependent protein kinase 1
ILMN_2869524	0.19949	1.17e-03	4.4942563	-0.55201	0.55784796	146149216	Coa7	cytochrome c oxidase assembly factor 7
ILMN_2718716	0.19949	1.17e-03	4.4899394	-0.55806	0.63815203	551411745	Kif21a	kinesin family member 21A
ILMN_2900653	0.20938	1.26e-03	4.4454789	-0.62055	0.89484203	6678979	Gadd45b	growth arrest and DNA-damage-inducible 45 beta
ILMN_2595478	0.20938	1.26e-03	4.444267	-0.62226	0.34428114	802084016	Sall4	sal-like 4 (Drosophila)
ILMN_2668849	0.2116	1.29e-03	4.4298653	-0.64257	0.36613999	530339559	Zmynd8	zinc finger, MYND-type containing 8
ILMN_1216883	0.2116	1.32e-03	4.415228	-0.66325	0.24781552	91064853	Raver1	ribonucleoprotein, PTB-binding 1
ILMN_1230923	0.2116	1.33e-03	4.4100045	-0.67064	0.34572214	238637302	Vldlr	very low density lipoprotein receptor
ILMN_1251449	0.2116	1.34e-03	-4.4043418	-0.67866	-0.33165434	141802539	Gstm2	glutathione S-transferase, mu 2
ILMN_2688728	0.2116	1.34e-03	4.4029821	-0.68058	0.57688988	253683454	Pcyt1a	phosphate cytidylyltransferase 1, choline, alpha isoform
ILMN_3095624	0.21208	1.36e-03	4.3948763	-0.69207	0.39883327	62945393	Kdm6b	KDM1 lysine (K)-specific demethylase 6B
ILMN_2430220	0.21856	1.42e-03	4.3648644	-0.73468	0.58962893	557357738	Tmem2	transmembrane protein 2
ILMN_2764819	0.21856	1.44e-03	-4.3580562	-0.74437	-0.22272992	133891747	Rab1a	RAB1A, member RAS oncogene family
ILMN_2692031	0.21856	1.44e-03	4.3560256	-0.74726	0.2934223	160333589	Pde4a	phosphodiesterase 4A, cAMP specific
ILMN_1249999	0.22092	1.49e-03	-4.3383334	-0.77247	-0.31149255	141801753	Kdelc1	KDEL (Lys-Asp-Glu-Leu) containing 1
ILMN_2747381	0.22092	1.49e-03	4.3356012	-0.77637	0.69956014	226958383	Ddx24	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24
ILMN_2644708	0.22092	1.50e-03	4.3302229	-0.78404	0.29871724	158508447	Fam204a	family with sequence similarity 204, member A
ILMN_1215969	0.22093	1.53e-03	4.3194795	-0.79939	0.23677997	118130783	Rcor1	REST corepressor 1
ILMN_1224736	0.22093	1.54e-03	4.3165194	-0.80362	0.29204704	893565190	Zmiz1	zinc finger, MIZ-type containing 1
ILMN_3125905	0.22093	1.56e-03	4.3066117	-0.8178	0.19164652	82617543	Fbxo40	F-box protein 40
ILMN_1248298	0.22093	1.57e-03	4.303782	-0.82185	0.2217754	254750634	Plxdc1	plexin domain containing 1
ILMN_3161767	0.22093	1.58e-03	4.2999309	-0.82737	0.21050857	30410009	Dhx38	DEAH (Asp-Glu-Ala-His) box polypeptide 38
ILMN_2633678	0.22575	1.63e-03	4.2781288	-0.85864	0.34318297	130507684	Myo10	myosin X
ILMN_1214163	0.22575	1.65e-03	4.2722463	-0.86709	0.30522286	118403315	Fam63b	family with sequence similarity 63, member B
ILMN_2648661	0.22575	1.66e-03	4.2687638	-0.8721	0.21303262	666875874	Cap1	CAP, adenylate cyclase-associated protein 1 (yeast)
ILMN_1217123	0.23289	1.72e-03	4.243282	-0.90878	0.20979748	161484673	Ikzf2	IKAROS family zinc finger 2
ILMN_1217408	0.24012	1.89e-03	4.1857788	-0.99193	0.34052321	255958316	Prkacb	protein kinase, cAMP dependent, catalytic, beta
ILMN_2988299	0.24012	1.91e-03	4.1780142	-1.00319	0.23216589	133892959	Srf	serum response factor
ILMN_2731550	0.24012	1.92e-03	4.176202	-1.00582	0.60554409	87239998	Pnkd	paroxysmal nonkinesiogenic dyskinesia
ILMN_2673566	0.24012	1.93e-03	4.1719052	-1.01206	1.17288787	118129916	Eif4ebp2	eukaryotic translation initiation factor 4E binding protein 2
ILMN_2712675	0.24012	1.94e-03	4.1671367	-1.01899	0.43693418	40254241	Efcab14	EF-hand calcium binding domain 14
ILMN_1241980	0.24012	1.95e-03	4.1648669	-1.02229	0.30531387	142350164	Cdk11b	cyclin-dependent kinase 11B
ILMN_1250618	0.24012	1.96e-03	4.1615234	-1.02715	0.40701981	117938319	Zbtb38	zinc finger and BTB domain containing 38
ILMN_1229994	0.24012	1.96e-03	4.1614933	-1.0272	0.33838109	402747080	Srxn1	sulfiredoxin 1 homolog (S. cerevisiae)
ILMN_1245815	0.24012	1.97e-03	4.1583893	-1.03171	0.43273949	50234895	Ube2o	ubiquitin-conjugating enzyme E2O
ILMN_2819558	0.24012	1.98e-03	4.1567732	-1.03406	0.32782559	NA		
ILMN_3035795	0.24012	1.98e-03	4.1544116	-1.0375	0.2040889	114205415	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3
ILMN_2689678	0.24012	2.01e-03	4.1477938	-1.04713	0.29059376	55742726	Ddx54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
ILMN_2691815	0.24012	2.01e-03	4.1473041	-1.04784	0.73758064	699045614	G3bp2	GTPase activating protein (SH3 domain) binding protein 2
ILMN_2741231	0.24012	2.01e-03	4.1448974	-1.05135	0.27419934	225543088	Tenm3	teneurin transmembrane protein 3
ILMN_1240950	0.24012	2.02e-03	4.1438589	-1.05286	0.45815159	674274944	Usp1	ubiquitin specific peptidase 1
ILMN_1249344	0.24012	2.03e-03	4.1396559	-1.05899	0.28324803	141802797	Tmem234	transmembrane protein 234
ILMN_3061287	0.24151	2.06e-03	4.1311401	-1.0714	0.38323015	557440774	Nrap	nebulin-related anchoring protein
ILMN_2516833	0.24171	2.08e-03	4.1257529	-1.07926	0.69202811	114326467	Zhx2	zinc fingers and homeoboxes 2
ILMN_1240323	0.24177	2.10e-03	-4.1190111	-1.08911	-0.80354231	815891095	Dnajb1	DnaJ heat shock protein family (Hsp40) member B1
ILMN_3062126	0.24177	2.11e-03	4.1160309	-1.09346	0.26522124	125347157	Plcd4	phospholipase C, delta 4
ILMN_1224430	0.25104	2.21e-03	4.0866853	-1.1364	0.17204791	255759916	Nfatc1	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1
ILMN_1227113	0.25104	2.22e-03	4.0830237	-1.14177	0.62339797	227452235	Prkaa2	protein kinase, AMP-activated, alpha 2 catalytic subunit
ILMN_2456243	0.25245	2.25e-03	4.0748569	-1.15374	0.2743738	145386588	Zfp148	zinc finger protein 148
ILMN_3038404	0.2556	2.30e-03	4.0625127	-1.17186	0.48624325	556503443	Tcf25	transcription factor 25 (basic helix-loop-helix)
ILMN_2705203	0.25645	2.34e-03	4.0517114	-1.18774	0.64043797	134053861	Magix	MAGI family member, X-linked
ILMN_1228213	0.25645	2.34e-03	4.0498687	-1.19045	0.18893309	125628656	Ifi30	interferon gamma inducible protein 30
ILMN_3148398	0.25645	2.36e-03	4.0456751	-1.19662	0.30063973	82617574	Eprs	glutamyl-prolyl-tRNA synthetase
ILMN_2589525	0.25645	2.40e-03	4.035974	-1.2109	0.36435488	595763391	Cpeb3	cytoplasmic polyadenylation element binding protein 3
ILMN_2625047	0.25645	2.40e-03	4.0346616	-1.21283	0.26652619	190014628	Tprn	taperin
ILMN_1232592	0.25645	2.41e-03	4.0334872	-1.21456	0.21829346	171919771	Zbtb17	zinc finger and BTB domain containing 17
ILMN_1255511	0.25898	2.46e-03	4.0197673	-1.23479	0.25079444	NA		
ILMN_1216116	0.25898	2.48e-03	-4.0157155	-1.24076	-0.30629757	194328770	Smarcd2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2
ILMN_2510683	0.25898	2.53e-03	4.0030963	-1.2594	0.47101154	142375695	Ubxn2a	UBX domain protein 2A
ILMN_1247460	0.25898	2.53e-03	4.0017907	-1.26133	0.22580559	312836756	Opa1	optic atrophy 1
ILMN_1249976	0.25898	2.55e-03	3.9983969	-1.26634	0.50779114	126513132	Cfl2	cofilin 2, muscle
ILMN_2970742	0.25898	2.55e-03	3.9982171	-1.26661	0.24617846	111186462	Rnf170	ring finger protein 170
ILMN_2678094	0.25898	2.55e-03	3.9974411	-1.26776	0.4989825	70909350	Prrx1	paired related homeobox 1
ILMN_1239021	0.26144	2.59e-03	-3.9874067	-1.2826	-0.31662236	158186702	Hnrnpm	heterogeneous nuclear ribonucleoprotein M
ILMN_2780619	0.26322	2.63e-03	3.9790774	-1.29493	0.56099172	229608955	Zdhhc21	zinc finger, DHHC domain containing 21
ILMN_1239592	0.26337	2.65e-03	3.9746145	-1.30154	0.47884953	141802222	Fam110b	family with sequence similarity 110, member B
ILMN_1250075	0.26352	2.67e-03	3.9690596	-1.30977	0.28876015	612407857	Dpysl3	dihydropyrimidinase-like 3
ILMN_1225831	0.26352	2.70e-03	3.9624766	-1.31953	0.54909628	83921606	Vps72	vacuolar protein sorting 72
ILMN_2998173	0.26352	2.71e-03	-3.9602127	-1.32289	-0.48117366	126090591	Gm6548	eukaryotic translation elongation factor 1 alpha 1 pseudogene
ILMN_2670247	0.26352	2.72e-03	3.9579038	-1.32632	0.16643878	133892935	Fxn	frataxin
ILMN_2803249	0.26352	2.73e-03	-3.9541978	-1.33182	-0.66258709	145966708	Inmt	indolethylamine N-methyltransferase
ILMN_2633367	0.2647	2.76e-03	3.9475053	-1.34175	1.01385086	328927076	Map4	microtubule-associated protein 4
ILMN_3149256	0.26639	2.80e-03	3.9396705	-1.3534	0.45681384	84579884	Slc16a3	solute carrier family 16 (monocarboxylic acid transporters), member 3
ILMN_1259388	0.26666	2.82e-03	3.9351596	-1.3601	0.41981367	227116285	Col6a1	collagen, type VI, alpha 1
ILMN_3158565	0.26733	2.87e-03	3.9250641	-1.37512	0.4657361	116292165	Plin5	perilipin 5
ILMN_1248647	0.26733	2.88e-03	3.9230229	-1.37816	0.29889286	600971676	Mef2a	myocyte enhancer factor 2A
ILMN_2684693	0.26733	2.89e-03	3.9206934	-1.38163	0.26727803	315113874	Dusp3	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)
ILMN_3136542	0.26733	2.90e-03	-3.9183505	-1.38512	-0.24644936	113680426	Gcdh	glutaryl-Coenzyme A dehydrogenase
ILMN_2847144	0.26768	2.92e-03	3.9137718	-1.39194	0.2138298	589058163	Hist1h2ak	histone cluster 1, H2ak
ILMN_1216822	0.26872	2.95e-03	3.9076493	-1.40107	0.37800977	408772006	Insig2	insulin induced gene 2
ILMN_2638778	0.27016	2.98e-03	3.9006439	-1.41151	0.37358573	23956165	Luc7l3	LUC7-like 3 (S. cerevisiae)
ILMN_2687032	0.28115	3.14e-03	3.8691792	-1.45852	0.38691988	371122517	Fbxo31	F-box protein 31
ILMN_3103689	0.28115	3.16e-03	-3.8655198	-1.464	-0.26507673	158711723	Spata24	spermatogenesis associated 24
ILMN_1256175	0.28115	3.16e-03	3.8651233	-1.46459	0.47386552	145699128	Pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
ILMN_2670662	0.28237	3.19e-03	3.8588514	-1.47398	0.63510628	893559362	Csde1	cold shock domain containing E1, RNA binding
ILMN_1232121	0.28238	3.23e-03	3.8519916	-1.48425	0.51847482	575501705	Zeb2	zinc finger E-box binding homeobox 2
ILMN_2622829	0.28238	3.23e-03	3.8516781	-1.48472	0.26708582	254281346	Get4	golgi to ER traffic protein 4
ILMN_1254409	0.28397	3.27e-03	3.8430137	-1.49771	0.60105371	334358887	Atxn1	ataxin 1
ILMN_2894450	0.28397	3.30e-03	3.8385473	-1.50441	0.18029151	30794429	Snx15	sorting nexin 15
ILMN_2528345	0.28397	3.30e-03	3.8376756	-1.50572	0.24211699	NA		
ILMN_2700166	0.29153	3.41e-03	3.8180801	-1.53514	0.68262306	80751174	Ccnd2	cyclin D2
ILMN_2724868	0.29351	3.49e-03	3.8045455	-1.55549	0.50236603	133892350	Appbp2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2
ILMN_2935734	0.29351	3.50e-03	3.8022273	-1.55898	0.23174173	451172079	Synrg	synergin, gamma
ILMN_3156208	0.29351	3.51e-03	3.8010161	-1.5608	0.49806238	225903458	Gpr146	G protein-coupled receptor 146
ILMN_2605201	0.29351	3.51e-03	3.8002571	-1.56195	0.89780318	141802195	Klhl30	kelch-like 30
ILMN_2981767	0.29444	3.54e-03	3.7949438	-1.56994	0.39868775	133778982	Klc2	kinesin light chain 2
ILMN_2886162	0.29849	3.61e-03	3.7828785	-1.58812	0.20068256	269914131	Slc45a4	solute carrier family 45, member 4
ILMN_2712584	0.29849	3.63e-03	3.7793023	-1.59351	0.29939441	146134978	Ccdc59	coiled-coil domain containing 59
ILMN_1234171	0.29849	3.66e-03	3.7753147	-1.59953	0.22244857	226442802	Ezh2	enhancer of zeste 2 polycomb repressive complex 2 subunit
ILMN_2615559	0.29849	3.68e-03	3.7719417	-1.60461	0.30866246	166295209	Dab2ip	disabled 2 interacting protein
ILMN_2662283	0.29849	3.69e-03	3.7700211	-1.60751	0.28441151	158508632	Ppp1r35	protein phosphatase 1, regulatory subunit 35
ILMN_2682063	0.30619	3.80e-03	-3.7512081	-1.63592	-0.39409711	47059205	Rnf181	ring finger protein 181
ILMN_3138439	0.30648	3.83e-03	3.7474092	-1.64166	0.34853924	118131133	Dyrk2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
ILMN_1214880	0.30708	3.86e-03	3.7430009	-1.64833	0.85559182	153792765	Synm	synemin, intermediate filament protein
ILMN_3113437	0.30775	3.88e-03	3.7384714	-1.65518	0.41892065	557357738	Tmem2	transmembrane protein 2
ILMN_2625680	0.30811	3.92e-03	3.7333431	-1.66294	0.4333662	237874258	Galnt1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1
ILMN_2704900	0.30811	3.96e-03	3.7270559	-1.67246	0.27013467	545479165	Dffa	DNA fragmentation factor, alpha subunit
ILMN_1252689	0.30811	3.96e-03	3.7265014	-1.6733	0.48095788	258645124	Sppl2a	signal peptide peptidase like 2A
ILMN_2605307	0.30811	3.97e-03	3.7251329	-1.67537	0.3638125	124028522	Mtmr10	myotubularin related protein 10
ILMN_2425351	0.31526	4.08e-03	3.7080475	-1.70126	0.39136279	674274944	Usp1	ubiquitin specific peptidase 1
ILMN_2789964	0.31798	4.14e-03	-3.6997381	-1.71387	-0.16489151	58801485	Olfr699	olfactory receptor 699
ILMN_1216732	0.31804	4.18e-03	-3.6937821	-1.72291	-0.25685779	133892763	Mcl1	myeloid cell leukemia sequence 1
ILMN_1217931	0.31804	4.18e-03	3.6934775	-1.72337	0.18035952	890773930	Usp10	ubiquitin specific peptidase 10
ILMN_1224619	0.31922	4.22e-03	-3.6881709	-1.73143	-0.14562639	113681284	St3gal1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
ILMN_2519536	0.31922	4.24e-03	-3.6851539	-1.73601	-0.15804172	145966799	Uox	urate oxidase
ILMN_2917138	0.31956	4.27e-03	-3.6814973	-1.74157	-0.18862015	32469512	Mkl2	MKL/myocardin-like 2
ILMN_2739965	0.32235	4.34e-03	3.6717664	-1.75636	0.44590392	76496488	Csnk1d	casein kinase 1, delta
ILMN_1219574	0.32235	4.35e-03	3.6702454	-1.75868	0.24085259	588480521	Hist1h2af	histone cluster 1, H2af
ILMN_1229547	0.32255	4.37e-03	3.6669011	-1.76377	0.40873378	254939622	Spon2	spondin 2, extracellular matrix protein
ILMN_2666747	0.32464	4.42e-03	3.6597132	-1.7747	0.83627286	699045614	G3bp2	GTPase activating protein (SH3 domain) binding protein 2
ILMN_2870623	0.32464	4.44e-03	3.6571108	-1.77867	0.42227054	118131107	Zfp251	zinc finger protein 251
ILMN_1230062	0.32817	4.55e-03	3.6424425	-1.80101	0.37908832	357430800	Cpeb1	cytoplasmic polyadenylation element binding protein 1
ILMN_3163196	0.32817	4.59e-03	3.6374355	-1.80864	0.44033717	112421173	Nr2f2	nuclear receptor subfamily 2, group F, member 2
ILMN_2593888	0.32817	4.59e-03	3.6366266	-1.80988	0.73227851	158508595	Gsk3b	glycogen synthase kinase 3 beta
ILMN_2901283	0.32817	4.60e-03	3.6365263	-1.81003	0.34677727	459447363	Add3	adducin 3 (gamma)
ILMN_2940541	0.32817	4.61e-03	3.6351875	-1.81207	0.28047159	51921284	Git1	G protein-coupled receptor kinase-interactor 1
